Id;Title;Artist;Year;Duo;Explicit;"Date Added";Styles;Languages
52091;Chöre;"Mark Forster";2016;0;0;2016-12-16;Pop,Electro;German
8522;"That Don't Impress Me Much";"Shania Twain";1997;0;0;2016-09-24;Pop,Dance,Rock;English
7022;Downtown;"Petula Clark";1964;0;0;2008-08-21;Pop,Oldies;English
9530;"Candle in the Wind";"Elton John";1973;0;0;2007-05-04;"Soft rock";English
23790;"A Change Is Gonna Come";"Sam Cooke";1964;0;0;2011-05-30;Oldies,Soul;English
14172;"Can't Take My Eyes Off You";"Andy Williams";1968;0;0;2011-05-30;Pop;English
8713;Cabaret;Cabaret;1972;0;0;2008-03-28;Musical;English
20640;"Jessie's Girl";"Rick Springfield";1981;0;0;2011-05-31;Rock,Pop;English
50790;Faded;"Alan Walker";2015;0;0;2016-03-24;Electro,Love;English
21121;Lucille;"Kenny Rogers";1977;0;0;2011-05-30;Country;English
51951;"The Wonder of You (with the Royal Philharmonic Orchestra)";"Elvis Presley";2016;0;0;2016-11-16;"Rock 'n Roll,Love";English
10998;"Just A Girl";"No Doubt";1995;0;0;2013-11-05;Rock,Alternative,Punk/Grunge;English
19872;"Chop Suey!";"System Of A Down";2001;0;0;2011-05-31;Hard/Metal,Alternative;English
13650;"Man In The Mirror";"Michael Jackson";1987;0;0;2011-05-31;Pop;English
9543;"I'll Never Fall in Love Again";"Tom Jones";1967;0;0;2011-05-31;Pop,Oldies;English
6168;"La Bamba";"Ritchie Valens";1959;0;0;2011-09-06;"Rock 'n Roll,Latin,Traditionnal";Spanish
8930;"The Blues Man";"Alan Jackson";1999;0;0;2014-05-07;Country,Love;English
19903;"What Is Love";Haddaway;1992;0;0;2011-12-14;Dance;English
14895;"Mountain Music";Alabama;1982;0;0;2014-04-24;Country,Rock;English
6423;Chattahoochee;"Alan Jackson";1993;0;0;2011-05-30;Country;English
14171;"I Want To Hold Your Hand";"The Beatles";1964;0;0;2011-11-04;"Rock 'n Roll,Pop";English
5582;"Since U Been Gone";"Kelly Clarkson";2004;0;0;2007-05-04;Rock,Pop;English
11429;"Leather And Lace";"Stevie Nicks";1980;1;0;2016-03-30;Pop,Love,Folk,Duet;English
13147;"Everybody Needs Somebody To Love";"The Blues Brothers";1980;0;0;2011-05-30;"Blues,Soul,TV & movie soundtrack";English
30054;"Dixieland Delight";Alabama;1982;0;0;2011-07-30;Country;English
15711;"Are You Gonna Be My Girl";Jet;2003;0;0;2011-05-31;Alternative,Pop,Rock;English
10642;"Le téléphone pleure";"Claude François";1974;0;0;2015-06-25;"French pop";French
6573;"Wind Beneath My Wings";"Bette Midler";1988;0;0;2007-05-18;"Pop,TV & movie soundtrack";English
20629;"Poor Unfortunate Souls";"The Little Mermaid (1989 film)";1989;0;0;2015-03-25;"TV & movie soundtrack";English
12825;"Ça fait rire les oiseaux";"La Compagnie Créole";1986;0;0;2016-02-25;Zouk/Creole,Pop;French
21596;"The Story";"Brandi Carlile";2007;0;0;2011-05-30;"Soft rock";English
15113;"Hard To Handle";"The Black Crowes";1990;0;0;2011-05-31;Rock,Blues,Soul;English
21309;"If I Were A Boy";Beyoncé;2008;0;0;2011-10-04;Pop,R&B;English
14896;"Feels So Right";Alabama;1980;0;0;2013-06-17;"Soft rock,Country";English
6641;"Much Too Young (To Feel This Damn Old)";"Garth Brooks";1989;0;0;2014-03-19;Country;English
22295;"I Hate Myself For Loving You";"Joan Jett";1988;0;0;2011-05-30;Hard/Metal,Rock;English
8289;"Mustang Sally";"Wilson Pickett";1966;0;0;2007-12-19;Oldies,Rock;English
15400;"Brick House";"The Commodores";1977;0;0;2011-05-31;Funk,Soul;English
6576;Volare;"The Gipsy Kings";1989;0;0;2011-05-30;Latin;Italian
15313;"Long Haired Country Boy";"The Charlie Daniels Band";1975;0;0;2012-08-15;Country;English
40378;"Tage wie diese";"Die Toten Hosen";2012;0;0;2014-12-23;Rock,Punk/Grunge;German
48790;"I Put A Spell On You";"Annie Lennox";2014;0;0;2015-04-07;"Blues,TV & movie soundtrack";English
58325;"Zij weet het";"Tino Martin";2018;0;0;2019-06-17;Rock,Love;English
14433;"Au café des délices";"Patrick Bruel";2001;0;0;2016-06-04;"French pop,Oriental";French
53367;Thunder;"Imagine Dragons";2017;0;0;2017-07-13;Alternative,Rock,Electro;English
9271;"I Can't Help Myself (Sugar Pie, Honey Bunch)";"The Four Tops";1965;0;0;2011-10-18;Oldies,Rock;English
18549;"Padam... Padam...";"Edith Piaf";1951;0;0;2012-05-25;"French pop,Oldies";French
8342;"Go Rest High On That Mountain";"Vince Gill";1994;0;0;2014-05-07;Country;English
5964;"Encore un matin";"Jean-Jacques Goldman";1984;0;0;2015-09-21;"French pop";French
56768;"Thank U, Next";"Ariana Grande";2018;0;1;2018-12-13;Pop,R&B;English
16367;"Sunday Morning Coming Down";"Johnny Cash";1970;0;0;2012-07-05;Country;English
35404;"Stop Draggin' My Heart Around";"Stevie Nicks";1981;1;0;2011-05-30;Rock,Pop,Duet;English
52801;Roule;Soprano;2016;0;0;2017-03-30;"French pop";French
7652;"Disco Inferno";"The Trammps";1976;0;0;2007-05-04;Disco;English
58037;"Wish You Were Gay";"Billie Eilish";2019;0;0;2019-05-16;Pop,Electro,Love;English
11090;"Let Her Cry";"Hootie & the Blowfish";1994;0;0;2014-03-17;Pop,Rock;English
43220;"Lost On You";LP;2016;0;0;2016-09-20;Pop;English
54925;"From Now On";"The Greatest Showman";2017;0;0;2018-01-18;"TV & movie soundtrack,Musical";English
14516;"Down Under";"Men At Work";1981;0;0;2012-01-05;"Pop,Soft rock";English
56734;"Without Me";Halsey;2018;0;1;2018-12-29;Pop;English
59100;"I Just Can't Wait to Be King";"The Lion King (2019 film)";2019;0;0;2019-09-26;"TV & movie soundtrack,Kids,Pop";English
7226;"Against All Odds (Take A Look At Me Now)";"Phil Collins";1984;0;0;2007-07-23;"Love,Pop,Soft rock";English
34580;"Bloed, zweet en tranen";"André Hazes";1985;0;0;2011-06-13;"Soft rock";Dutch
36963;"Bye Bye";Ménélik;1995;1;1;2016-06-04;"R&B,Rap,French pop,Duet";French
59732;"Requiem pour un fou (album Johnny)";"Johnny Hallyday";2019;0;0;2019-12-23;"Rock,French pop";French
7253;Fernando;ABBA;1975;0;0;2016-03-25;Pop;English
5616;"Somewhere Only We Know";Keane;2004;0;0;2007-05-04;Pop,Rock;English
52738;"Something Just Like This";"The Chainsmokers";2017;0;0;2017-03-20;Pop,Dance,Electro;English
58364;"What If I Never Get Over You";"Lady Antebellum";2019;1;0;2019-06-24;Pop,Country,Duet;English
24640;Troubadour;"George Strait";2008;0;0;2011-05-30;Country;English
10814;"I'll Be There for You";"The Rembrandts";1995;0;0;2007-06-04;"TV & movie soundtrack,Pop,Rock";English
5054;"Alphabet Song";"Nursery Rhyme";1806;0;0;2008-06-26;Kids,Traditionnal;English
6608;"Lost In The Fifties Tonight (In The Still Of The Night)";"Ronnie Milsap";1985;0;0;2014-05-09;Love,Country,Oldies;English
14632;"Parle à ma main";"Fatal Bazooka";2007;0;0;2016-09-25;"Humour,R&B,French pop";French
18745;"Help Me Make It Through the Night";"Sammi Smith";1970;0;0;2013-10-07;Country;English
53230;"You Will Be Found";"Dear Evan Hansen";2017;0;0;2017-06-15;Musical,Pop;English
20069;Broken;Seether;2004;1;0;2011-10-06;Rock,Duet;English
19842;"Et maintenant";"Gilbert Bécaud";1961;0;0;2011-05-30;"French pop";French
35980;"Born This Way";"Lady Gaga";2011;0;0;2011-05-30;Dance,Electro,Pop;English
32094;"Happy Birthday";"Stevie Wonder";1980;0;0;2011-10-14;Pop,Soul;English
30039;"Seven Bridges Road";Eagles;1980;0;0;2011-10-19;Folk,Country;English
29286;"Can't You See";"The Marshall Tucker Band";1973;0;0;2011-05-31;Rock;English
9997;"Against The Wind";"Bob Seger";1980;0;0;2011-10-28;Rock,Pop;English
18156;"Smoke On The Water";"Deep Purple";1973;0;0;2012-01-22;Hard/Metal,Rock;English
10384;"Semi-Charmed Life";"Third Eye Blind";1997;0;0;2011-07-07;Rock,Alternative;English
